ticker,yahoo_symbol,filing_date,date,close
PCG,PCG,2019-01-29,2018-01-29,42.97999954223633
PCG,PCG,2019-01-29,2018-01-30,41.97999954223633
PCG,PCG,2019-01-29,2018-01-31,42.43000030517578
PCG,PCG,2019-01-29,2018-02-01,42.56999969482422
PCG,PCG,2019-01-29,2018-02-02,41.439998626708984
PCG,PCG,2019-01-29,2018-02-05,40.29999923706055
PCG,PCG,2019-01-29,2018-02-06,39.86000061035156
PCG,PCG,2019-01-29,2018-02-07,39.47999954223633
PCG,PCG,2019-01-29,2018-02-08,38.2400016784668
PCG,PCG,2019-01-29,2018-02-09,38.56999969482422
PCG,PCG,2019-01-29,2018-02-12,39.34000015258789
PCG,PCG,2019-01-29,2018-02-13,39.83000183105469
PCG,PCG,2019-01-29,2018-02-14,39.08000183105469
PCG,PCG,2019-01-29,2018-02-15,39.959999084472656
PCG,PCG,2019-01-29,2018-02-16,40.400001525878906
PCG,PCG,2019-01-29,2018-02-20,40.0099983215332
PCG,PCG,2019-01-29,2018-02-21,39.790000915527344
PCG,PCG,2019-01-29,2018-02-22,40.09000015258789
PCG,PCG,2019-01-29,2018-02-23,41.13999938964844
PCG,PCG,2019-01-29,2018-02-26,41.060001373291016
PCG,PCG,2019-01-29,2018-02-27,40.22999954223633
PCG,PCG,2019-01-29,2018-02-28,41.09000015258789
PCG,PCG,2019-01-29,2018-03-01,41.2599983215332
PCG,PCG,2019-01-29,2018-03-02,40.720001220703125
PCG,PCG,2019-01-29,2018-03-05,41.95000076293945
PCG,PCG,2019-01-29,2018-03-06,42.41999816894531
PCG,PCG,2019-01-29,2018-03-07,41.119998931884766
PCG,PCG,2019-01-29,2018-03-08,41.72999954223633
PCG,PCG,2019-01-29,2018-03-09,42.029998779296875
PCG,PCG,2019-01-29,2018-03-12,42.41999816894531
PCG,PCG,2019-01-29,2018-03-13,45.099998474121094
PCG,PCG,2019-01-29,2018-03-14,44.16999816894531
PCG,PCG,2019-01-29,2018-03-15,44.16999816894531
PCG,PCG,2019-01-29,2018-03-16,45.08000183105469
PCG,PCG,2019-01-29,2018-03-19,44.47999954223633
PCG,PCG,2019-01-29,2018-03-20,43.45000076293945
PCG,PCG,2019-01-29,2018-03-21,42.959999084472656
PCG,PCG,2019-01-29,2018-03-22,44.130001068115234
PCG,PCG,2019-01-29,2018-03-23,43.08000183105469
PCG,PCG,2019-01-29,2018-03-26,42.869998931884766
PCG,PCG,2019-01-29,2018-03-27,43.939998626708984
PCG,PCG,2019-01-29,2018-03-28,43.2400016784668
PCG,PCG,2019-01-29,2018-03-29,43.93000030517578
PCG,PCG,2019-01-29,2018-04-02,43.33000183105469
PCG,PCG,2019-01-29,2018-04-03,43.68000030517578
PCG,PCG,2019-01-29,2018-04-04,43.459999084472656
PCG,PCG,2019-01-29,2018-04-05,44.029998779296875
PCG,PCG,2019-01-29,2018-04-06,43.970001220703125
PCG,PCG,2019-01-29,2018-04-09,44.43000030517578
PCG,PCG,2019-01-29,2018-04-10,44.150001525878906
PCG,PCG,2019-01-29,2018-04-11,44.79999923706055
PCG,PCG,2019-01-29,2018-04-12,44.630001068115234
PCG,PCG,2019-01-29,2018-04-13,45.34000015258789
PCG,PCG,2019-01-29,2018-04-16,45.59000015258789
PCG,PCG,2019-01-29,2018-04-17,46.79999923706055
PCG,PCG,2019-01-29,2018-04-18,46.45000076293945
PCG,PCG,2019-01-29,2018-04-19,46.5
PCG,PCG,2019-01-29,2018-04-20,45.72999954223633
PCG,PCG,2019-01-29,2018-04-23,45.56999969482422
PCG,PCG,2019-01-29,2018-04-24,46.29999923706055
PCG,PCG,2019-01-29,2018-04-25,46.34000015258789
PCG,PCG,2019-01-29,2018-04-26,46.290000915527344
PCG,PCG,2019-01-29,2018-04-27,46.630001068115234
PCG,PCG,2019-01-29,2018-04-30,46.099998474121094
PCG,PCG,2019-01-29,2018-05-01,46.27000045776367
PCG,PCG,2019-01-29,2018-05-02,45.869998931884766
PCG,PCG,2019-01-29,2018-05-03,44.369998931884766
PCG,PCG,2019-01-29,2018-05-04,44.880001068115234
PCG,PCG,2019-01-29,2018-05-07,44.619998931884766
PCG,PCG,2019-01-29,2018-05-08,42.77000045776367
PCG,PCG,2019-01-29,2018-05-09,42.59000015258789
PCG,PCG,2019-01-29,2018-05-10,43.380001068115234
PCG,PCG,2019-01-29,2018-05-11,43.31999969482422
PCG,PCG,2019-01-29,2018-05-14,43.22999954223633
PCG,PCG,2019-01-29,2018-05-15,42.95000076293945
PCG,PCG,2019-01-29,2018-05-16,42.58000183105469
PCG,PCG,2019-01-29,2018-05-17,42.220001220703125
PCG,PCG,2019-01-29,2018-05-18,42.779998779296875
PCG,PCG,2019-01-29,2018-05-21,43.209999084472656
PCG,PCG,2019-01-29,2018-05-22,43.630001068115234
PCG,PCG,2019-01-29,2018-05-23,43.849998474121094
PCG,PCG,2019-01-29,2018-05-24,43.83000183105469
PCG,PCG,2019-01-29,2018-05-25,44.65999984741211
PCG,PCG,2019-01-29,2018-05-29,42.34000015258789
PCG,PCG,2019-01-29,2018-05-30,43.09000015258789
PCG,PCG,2019-01-29,2018-05-31,43.33000183105469
PCG,PCG,2019-01-29,2018-06-01,42.27000045776367
PCG,PCG,2019-01-29,2018-06-04,42.0
PCG,PCG,2019-01-29,2018-06-05,41.97999954223633
PCG,PCG,2019-01-29,2018-06-06,41.150001525878906
PCG,PCG,2019-01-29,2018-06-07,41.66999816894531
PCG,PCG,2019-01-29,2018-06-08,41.45000076293945
PCG,PCG,2019-01-29,2018-06-11,39.7599983215332
PCG,PCG,2019-01-29,2018-06-12,39.290000915527344
PCG,PCG,2019-01-29,2018-06-13,39.380001068115234
PCG,PCG,2019-01-29,2018-06-14,39.88999938964844
PCG,PCG,2019-01-29,2018-06-15,40.20000076293945
PCG,PCG,2019-01-29,2018-06-18,39.790000915527344
PCG,PCG,2019-01-29,2018-06-19,39.88999938964844
PCG,PCG,2019-01-29,2018-06-20,40.0
PCG,PCG,2019-01-29,2018-06-21,40.529998779296875
PCG,PCG,2019-01-29,2018-06-22,42.91999816894531
PCG,PCG,2019-01-29,2018-06-25,42.290000915527344
PCG,PCG,2019-01-29,2018-06-26,42.619998931884766
PCG,PCG,2019-01-29,2018-06-27,42.470001220703125
PCG,PCG,2019-01-29,2018-06-28,42.709999084472656
PCG,PCG,2019-01-29,2018-06-29,42.560001373291016
PCG,PCG,2019-01-29,2018-07-02,43.7400016784668
PCG,PCG,2019-01-29,2018-07-03,43.970001220703125
PCG,PCG,2019-01-29,2018-07-05,44.18000030517578
PCG,PCG,2019-01-29,2018-07-06,45.029998779296875
PCG,PCG,2019-01-29,2018-07-09,45.09000015258789
PCG,PCG,2019-01-29,2018-07-10,43.720001220703125
PCG,PCG,2019-01-29,2018-07-11,43.650001525878906
PCG,PCG,2019-01-29,2018-07-12,43.65999984741211
PCG,PCG,2019-01-29,2018-07-13,43.27000045776367
PCG,PCG,2019-01-29,2018-07-16,43.040000915527344
PCG,PCG,2019-01-29,2018-07-17,42.56999969482422
PCG,PCG,2019-01-29,2018-07-18,42.13999938964844
PCG,PCG,2019-01-29,2018-07-19,42.2599983215332
PCG,PCG,2019-01-29,2018-07-20,41.439998626708984
PCG,PCG,2019-01-29,2018-07-23,41.529998779296875
PCG,PCG,2019-01-29,2018-07-24,42.4900016784668
PCG,PCG,2019-01-29,2018-07-25,42.9900016784668
PCG,PCG,2019-01-29,2018-07-26,44.70000076293945
PCG,PCG,2019-01-29,2018-07-27,43.47999954223633
PCG,PCG,2019-01-29,2018-07-30,43.220001220703125
PCG,PCG,2019-01-29,2018-07-31,43.08000183105469
PCG,PCG,2019-01-29,2018-08-01,42.5099983215332
PCG,PCG,2019-01-29,2018-08-02,42.310001373291016
PCG,PCG,2019-01-29,2018-08-03,42.959999084472656
PCG,PCG,2019-01-29,2018-08-06,44.58000183105469
PCG,PCG,2019-01-29,2018-08-07,43.65999984741211
PCG,PCG,2019-01-29,2018-08-08,44.09000015258789
PCG,PCG,2019-01-29,2018-08-09,43.900001525878906
PCG,PCG,2019-01-29,2018-08-10,42.66999816894531
PCG,PCG,2019-01-29,2018-08-13,42.790000915527344
PCG,PCG,2019-01-29,2018-08-14,42.84000015258789
PCG,PCG,2019-01-29,2018-08-15,43.470001220703125
PCG,PCG,2019-01-29,2018-08-16,44.790000915527344
PCG,PCG,2019-01-29,2018-08-17,45.25
PCG,PCG,2019-01-29,2018-08-20,44.779998779296875
PCG,PCG,2019-01-29,2018-08-21,44.70000076293945
