Model,Evaluation,Accuracy,ROC-AUC,Precision,Recall,Brier,Sample N
Logistic Regression,Group CV,0.898876404494382,0.9211329715061058,0.782608695652174,0.8181818181818182,0.0943320393165017,178
Logistic Regression,Holdout,0.9555555555555556,0.9786096256684491,0.9090909090909091,0.9090909090909091,0.07693078650724329,45
Random Forest,Group CV,0.9269662921348315,0.9609905020352781,0.8444444444444444,0.8636363636363636,0.053506346627071134,178
Random Forest,Holdout,0.9777777777777777,0.9919786096256684,0.9166666666666666,1.0,0.030652085490858832,45
Majority Class,Holdout baseline,0.7555555555555555,0.5,0.0,0.0,0.18470486994428428,45
Altman Z-Score,Full sample benchmark,0.734375,0.8681818181818182,0.5517241379310345,0.8,0.13940531014718086,64
Fraud Risk Score,Full sample benchmark,0.7359550561797753,0.8184362279511533,0.47761194029850745,0.7272727272727273,0.13325842696629217,178
