ticker,name,sector,year_filed,filing_date,sample_source,bankruptcy_filing,bankrupt,total_assets,total_liabilities,current_assets,current_liabilities,retained_earnings,revenue,net_income,ebit,interest_expense,stockholders_equity,long_term_debt,source_filing_end,source_filing_filed,source_filing_form,debt_to_equity,current_ratio,return_on_assets,interest_coverage,net_margin,market_cap,price,beta,pe_ratio,week52_high,week52_low,analyst_rating,shares_outstanding,company_size
SUNEQ,SunEdison,Energy,2016.0,2016-04-21,manual,1,1,11499800000.0,10015200000.0,2788000000.0,3145100000.0,-1348400000.0,1794600000.0,-1180400000.0,-536800000.0,410000000.0,232900000.0,10400000.0,2014-12-31,2015-03-02,10-K,43.00214684413911,0.8864583002130297,-0.10264526339588514,-1.3092682926829269,-0.657751030870389,,,,,,,,,Large
CZR,Caesars Entertainment Operating Co,Consumer Discretionary,2015.0,2015-01-15,manual,1,1,24688900000.0,26592700000.0,3770300000.0,2530800000.0,-10320700000.0,,-2948200000.0,-2234600000.0,2253000000.0,-3122000000.0,21115500000.0,2013-12-31,2014-03-17,10-K,-8.517841127482383,1.489766081871345,-0.1194139876624718,-0.9918331114070129,,,,,,,,,,Large
EFH,Energy Future Holdings,Utilities,2014.0,2014-04-29,manual,1,1,40970000000.0,51893000000.0,5513000000.0,5268000000.0,-18939000000.0,5636000000.0,-1913000000.0,,3508000000.0,-11025000000.0,,2012-12-31,2013-02-19,10-K,-4.706848072562359,1.0465072133637054,-0.04669270197705638,,-0.3394251242015614,,,,,,,,,Large
IHRTQ,iHeartMedia,Communication Services,2018.0,2018-03-14,manual,1,1,12862247000.0,,2504687000.0,1696570000.0,-12733329000.0,6273573000.0,-296318000.0,1504691000.0,1849982000.0,-10606681000.0,20364988000.0,2016-12-31,2017-02-23,10-K,,1.476323994883795,-0.023037809801040206,0.813354400204975,-0.04723273324467572,,,,,,,,,Large
FTRCQ,Frontier Communications,Communication Services,2020.0,2020-04-14,manual,1,1,17488000000.0,,3037000000.0,2804000000.0,-8573000000.0,8107000000.0,-5911000000.0,-4873000000.0,1535000000.0,-4394000000.0,,2019-12-31,2020-03-31,10-K,,1.0830955777460771,-0.3380032021957914,-3.1745928338762215,-0.7291229801406193,,,,,,,,,Large
WINMQ,Windstream Holdings,Communication Services,2019.0,2019-02-25,manual,1,1,11084300000.0,12383200000.0,932500000.0,1543400000.0,-2512200000.0,4919600000.0,-2116600000.0,-1593500000.0,875400000.0,-1298900000.0,5843900000.0,2017-12-31,2018-02-28,10-K,-9.533605358380168,0.6041855643384735,-0.19095477386934673,-1.8203107151016678,-0.4302382307504675,,,,,,,,,Large
MNK,Mallinckrodt,Healthcare,2020.0,2020-10-12,manual,1,1,10338900000.0,8398200000.0,1830700000.0,1426900000.0,-2016900000.0,,-996500000.0,-1822200000.0,309000000.0,1940700000.0,,2019-12-27,2020-02-26,10-K,4.327407636419848,1.2829910995865161,-0.09638356111385157,-5.8970873786407765,,,,,,,,,,Large
INTEQ,Intelsat,Communication Services,2020.0,2020-05-13,manual,1,1,11804382000.0,,1173537000.0,690801000.0,-7503830000.0,,-913595000.0,388596000.0,,-4999858000.0,14465483000.0,2019-12-31,2020-02-20,10-K,,1.69880616849136,-0.0773945641542268,,,,,,,,,,,Large
GNC,GNC Holdings,Consumer Staples,2020.0,2020-06-23,manual,1,1,1650587000.0,1646455000.0,639761000.0,560825000.0,518605000.0,2613154000.0,-35112000.0,124743000.0,,-207263000.0,1342378000.0,2019-12-31,2020-03-25,10-K,-7.943796046568852,1.1407497882583693,-0.021272432171100343,,-0.013436636340606026,,,,,,,,,Mid
REV,Revlon,Consumer Staples,2022.0,2022-06-15,manual,1,1,2432500000.0,,1039600000.0,787600000.0,-2838600000.0,2564500000.0,-206900000.0,103200000.0,176600000.0,-2014100000.0,3442700000.0,2021-12-31,2022-03-03,10-K,,1.3199593702386998,-0.08505652620760534,0.5843714609286523,-0.08067849483330083,,,,,,,,,Mid
