feature,importance
return_on_assets,0.7996856073956219
debt_to_equity,0.6791425756540039
z_x1,0.5875238297950451
z_x3,0.4870519191178643
z_x5,0.46645907240044665
current_ratio,0.3740360789841303
interest_coverage,0.26223794141404166
z_x2,0.12167276716336649
net_margin,0.02659282021989257
z_x4,0.025202837914721932
